00AR               20181129                                                                                   
0601ARA1N       20190101000250100000005000 0100000340000136   
0601ARA1N       20190101000255100000005000 0100000390000152   
0601ARA1N       20190101000260100000005000 0100000440000167   
0601ARA1N       20190101000265100000005000 0100000480000181   
0601ARA1N       20190101000270100000005000 0100000530000195   
0601ARA1N       20190101000275100000005000 0100000590000213   
0601ARA1N       20190101000280100000005000 0100000650000230   
0601ARA1N       20190101000285100000005000 0100000710000246   
0601ARA1N       20190101000290100000005000 0100000770000263   
0601ARA1N       20190101000295100000005000 0100000830000278   
0601ARA1N       20190101000300100000005000 0100000890000293   
0601ARA1N       20190101000305100000005000 0100000950000307   
0601ARA1N       20190101000310100000005000 0100001000000321   
0601ARA1N       20190101000315100000005000 0100001060000335   
0601ARA1N       20190101000320100000005000 0100001120000348   
0601ARA1N       20190101000325100000005000 0100001190000364   
0601ARA1N       20190101000330100000005000 0100001250000376   
0601ARA1N       20190101000335100000005000 0100001310000388   
0601ARA1N       20190101000340100000005000 0100001370000400   
0601ARA1N       20190101000345100000005000 0100001430000411   
0601ARA1N       20190101000350100000005000 0100001490000422   
0601ARA1N       20190101000355100000005000 0100001550000433   
0601ARA1N       20190101000360100000005000 0100001610000443   
0601ARA1N       20190101000365100000005000 0100001670000453   
0601ARA1N       20190101000370100000005000 0100001730000463   
