00BS               20190214                                                                                   
0601BSA1N       20190101000550100000010000 0100000000000888   
0601BSA1N       20190101000560100000010000 0100000000000909   
0601BSA1N       20190101000570100000010000 0100000000000932   
0601BSA1N       20190101000580100000010000 0100000000000951   
0601BSA1N       20190101000590100000010000 0100000000000973   
0601BSA1N       20190101000600100000010000 0100000000000991   
0601BSA1N       20190101000610100000010000 0100000000001008   
0601BSA1N       20190101000620100000010000 0100000000001028   
0601BSA1N       20190101000630100000010000 0100000000001044   
0601BSA1N       20190101000640100000010000 0100000000001062   
0601BSA1N       20190101000650100000010000 0100000000001078   
0601BSA1N       20190101000660100000010000 0100000000001095   
0601BSA1N       20190101000670100000010000 0100000000001109   
0601BSA1N       20190101000680100000010000 0100000000001124   
0601BSA1N       20190101000690100000010000 0100000000001140   
0601BSA1N       20190101000700100000010000 0100000000001153   
0601BSA1N       20190101000710100000010000 0100000000001169   
0601BSA1N       20190101000720100000010000 0100000000001181   
0601BSA1N       20190101000730100000010000 0100000000001196   
0601BSA1N       20190101000740100000010000 0100000000001208   
0601BSA1N       20190101000750100000010000 0100000000001220   
0601BSA1N       20190101000760100000010000 0100000000001233   
0601BSA1N       20190101000770100000010000 0100000000001244   
0601BSA1N       20190101000780100000010000 0100000000001258   
0601BSA1N       20190101000790100000010000 0100000000001268   
0601BSA1N       20190101000800100000010000 0100000000001280   
0601BSA1N       20190101000810100000010000 0100000000001290   
0601BSA1N       20190101000820100000010000 0100000000001302   
0601BSA1N       20190101000830100000010000 0100000000001311   
0601BSA1N       20190101000840100000010000 0100000000001320   
0601BSA1N       20190101000850100000010000 0100000000001334   
0601BSA1N       20190101000860100000010000 0100000000001345   
0601BSA1N       20190101000870100000010000 0100000000001359   
0601BSA1N       20190101000880100000010000 0100000000001369   
0601BSA1N       20190101000890100000010000 0100000000001382   
0601BSA1N       20190101000900100000010000 0100000000001393   
0601BSA1N       20190101000910100000010000 0100000000001404   
0601BSA1N       20190101000920100000010000 0100000000001417   
0601BSA1N       20190101000930100000010000 0100000000001427   
0601BSA1N       20190101000940100000010000 0100000000001439   
0601BSA1N       20190101000950100000010000 0100000000001449   
0601BSA1N       20190101000960100000010000 0100000000001461   
0601BSA1N       20190101000970100000010000 0100000000001470   
0601BSA1N       20190101000980100000010000 0100000000001481   
0601BSA1N       20190101000990100000010000 0100000000001490   
0601BSA1N       20190101001000100000050000 0100000000001518   
0601BSA1N       20190101001050100000050000 0100000000001562   
0601BSA1N       20190101001100100000050000 0100000000001604   
0601BSA1N       20190101001150100000050000 0100000000001645   
0601BSA1N       20190101001200100000050000 0100000000001687   
0601BSA1N       20190101001250100000050000 0100000000001727   
0601BSA1N       20190101001300100000050000 0100000000001765   
0601BSA1N       20190101001350100000050000 0100000000001801   
0601BSA1N       20190101001400100000050000 0100000000001834   
0601BSA1N       20190101001450100000050000 0100000000001867   
0601BSA1N       20190101001500100000050000 0100000000001904   
0601BSA1N       20190101001550100000050000 0100000000001936   
0601BSA1N       20190101001600100000050000 0100000000001966   
0601BSA1N       20190101001650100000050000 0100000000001996   
0601BSA1N       20190101001700100000050000 0100000000002022   
0601BSA1N       20190101001750100000050000 0100000000002048   
0601BSA1N       20190101001800100000050000 0100000000002073   
0601BSA1N       20190101001850100000050000 0100000000002100   
0601BSA1N       20190101001900100000050000 0100000000002126   
0601BSA1N       20190101001950100000050000 0100000000002152   
0601BSA1N       20190101002000100000050000 0100000000002176   
0601BSA1N       20190101002050100000050000 0100000000002198   
0601BSA1N       20190101002100100000050000 0100000000002221   
0601BSA1N       20190101002150100000050000 0100000000002242   
0601BSA1N       20190101002200100000050000 0100000000002264   
0601BSA1N       20190101002250100000050000 0100000000002292   
