00GL               20251204                                                                                   
0601GLA0N       20260101002610100000005000 0000000104002218   
0601GLA0N       20260101002615100000005000 0000000104002220   
0601GLA0N       20260101002620100000005000 0000000104002222   
0601GLA0N       20260101002625100000005000 0000000104002223   
0601GLA0N       20260101002630100000005000 0000000104002226   
0601GLA0N       20260101002635100000005000 0000000104002227   
0601GLA0N       20260101002640100000005000 0000000104002229   
0601GLA0N       20260101002645100000005000 0000000104002231   
0601GLA0N       20260101002650100000005000 0000000104002233   
0601GLA0N       20260101002655100000005000 0000000104002235   
0601GLA0N       20260101002660100000005000 0000000104002236   
0601GLA0N       20260101002665100000005000 0000000104002239   
0601GLA0N       20260101002670100000005000 0000000104002240   
0601GLA0N       20260101002675100000005000 0000000104002242   
0601GLA0N       20260101002680100000005000 0000000104002245   
0601GLA0N       20260101002685100000005000 0000000104002246   
0601GLA0N       20260101002690100000005000 0000000104002247   
0601GLA0N       20260101002695100000005000 0000000104002249   
0601GLA0N       20260101002700100000005000 0000000104002251   
0601GLA0N       20260101002705100000005000 0000000104002253   
0601GLA0N       20260101002710100000005000 0000000104002254   
0601GLA0N       20260101002715100000005000 0000000104002257   
0601GLA0N       20260101002720100000005000 0000000104002258   
0601GLA0N       20260101002725100000005000 0000000104002260   
0601GLA0N       20260101002730100000005000 0000000104002261   
0601GLA0N       20260101002735100000005000 0000000104002263   
0601GLA0N       20260101002740100000005000 0000000104002265   
0601GLA0N       20260101002745100000005000 0000000104002266   
0601GLA0N       20260101002750100000005000 0000000104002269   
0601GLA0N       20260101002755100000005000 0000000104002270   
0601GLA0N       20260101002760100000005000 0000000104002271   
0601GLA0N       20260101002765100000005000 0000000104002274   
0601GLA0N       20260101002770100000005000 0000000104002275   
0601GLA0N       20260101002775100000005000 0000000104002277   
0601GLA0N       20260101002780100000005000 0000000104002278   
0601GLA0N       20260101002785100000005000 0000000104002281   
0601GLA0N       20260101002790100000005000 0000000104002282   
