00TG               20151204                                                                                   
0601TGA0N       20160101001810100000005000 0000039490002179   
0601TGA0N       20160101001815100000005000 0000039650002182   
0601TGA0N       20160101001820100000005000 0000039830002185   
0601TGA0N       20160101001825100000005000 0000039990002188   
0601TGA0N       20160101001830100000005000 0000040140002190   
0601TGA0N       20160101001835100000005000 0000040330002195   
0601TGA0N       20160101001840100000005000 0000040480002197   
0601TGA0N       20160101001845100000005000 0000040640002200   
0601TGA0N       20160101001850100000005000 0000040820002204   
0601TGA0N       20160101001855100000005000 0000040980002206   
0601TGA0N       20160101001860100000005000 0000041130002208   
0601TGA0N       20160101001865100000005000 0000041320002213   
0601TGA0N       20160101001870100000005000 0000041480002215   
0601TGA0N       20160101001875100000005000 0000041630002217   
0601TGA0N       20160101001880100000005000 0000041820002222   
0601TGA0N       20160101001885100000005000 0000041970002224   
0601TGA0N       20160101001890100000005000 0000042130002226   
0601TGA0N       20160101001895100000005000 0000042310002230   
0601TGA0N       20160101001900100000005000 0000042470002232   
0601TGA0N       20160101001905100000005000 0000042620002234   
0601TGA0N       20160101001910100000005000 0000042810002238   
0601TGA0N       20160101001915100000005000 0000042960002240   
0601TGA0N       20160101001920100000005000 0000043120002243   
0601TGA0N       20160101001925100000005000 0000043300002246   
0601TGA0N       20160101001930100000005000 0000043460002249   
0601TGA0N       20160101001935100000005000 0000043610002251   
0601TGA0N       20160101001940100000005000 0000043800002255   
0601TGA0N       20160101001945100000005000 0000043960002257   
0601TGA0N       20160101001950100000005000 0000044110002259   
0601TGA0N       20160101001955100000005000 0000044300002263   
0601TGA0N       20160101001960100000005000 0000044450002265   
0601TGA0N       20160101001965100000005000 0000044610002267   
0601TGA0N       20160101001970100000005000 0000044790002271   
0601TGA0N       20160101001975100000005000 0000044950002273   
0601TGA0N       20160101001980100000005000 0000045100002275   
0601TGA0N       20160101001985100000005000 0000045290002279   
0601TGA0N       20160101001990100000005000 0000045440002281   
0601TGA0N       20160101001995100000005000 0000045600002283   
0601TGA0N       20160101002000100002000000 0000000000002624   
0601TGA0N       20160101004000100095999900 0000000000002795   
0601TGA1N       20160101000000100000120000 0100000040000034   
0601TGA1N       20160101000120100000005000 0100000040000033   
0601TGA1N       20160101000125100000005000 0100000040000031   
0601TGA1N       20160101000130100000005000 0100000040000030   
0601TGA1N       20160101000135100000005000 0100000040000029   
0601TGA1N       20160101000140100000005000 0100000040000028   
0601TGA1N       20160101000145100000005000 0100000040000027   
0601TGA1N       20160101000150100000005000 0100000040000026   
0601TGA1N       20160101000155100000005000 0100000040000025   
0601TGA1N       20160101000160100000005000 0100000040000025   
0601TGA1N       20160101000165100000005000 0100000040000024   
0601TGA1N       20160101000170100000005000 0100000040000023   
0601TGA1N       20160101000175100000005000 0100000040000023   
0601TGA1N       20160101000180100000005000 0100000040000022   
0601TGA1N       20160101000185100000005000 0100000040000021   
0601TGA1N       20160101000190100000005000 0100000040000021   
0601TGA1N       20160101000195100000005000 0100000040000020   
0601TGA1N       20160101000200100000005000 0100000040000020   
0601TGA1N       20160101000205100000005000 0100000040000019   
0601TGA1N       20160101000210100000005000 0100000040000019   
0601TGA1N       20160101000215100000005000 0100000040000018   
0601TGA1N       20160101000220100000005000 0100000040000018   
0601TGA1N       20160101000225100000005000 0100000040000018   
0601TGA1N       20160101000230100000005000 0100000040000017   
0601TGA1N       20160101000235100000005000 0100000040000017   
0601TGA1N       20160101000240100000005000 0100000040000016   
0601TGA1N       20160101000245100000005000 0100000040000016   
0601TGA1N       20160101000250100000005000 0100000040000016   
0601TGA1N       20160101000255100000005000 0100000040000016   
0601TGA1N       20160101000260100000005000 0100000040000015   
0601TGA1N       20160101000265100000005000 0100000040000015   
0601TGA1N       20160101000270100000005000 0100000040000015   
0601TGA1N       20160101000275100000005000 0100000170000061   
0601TGA1N       20160101000280100000005000 0100000210000074   
0601TGA1N       20160101000285100000005000 0100000250000087   
0601TGA1N       20160101000290100000005000 0100000280000096   
0601TGA1N       20160101000295100000005000 0100000330000111   
0601TGA1N       20160101000300100000005000 0100000380000126   
0601TGA1N       20160101000305100000005000 0100000450000146   
