00VD               20231110                                                                                   
0601VDA0N       20240101001930100000005000 0000000000002512   
0601VDA0N       20240101001935100000005000 0000000000002517   
0601VDA0N       20240101001940100000005000 0000000000002520   
0601VDA0N       20240101001945100000005000 0000000000002523   
0601VDA0N       20240101001950100000005000 0000000000002528   
0601VDA0N       20240101001955100000005000 0000000000002531   
0601VDA0N       20240101001960100000005000 0000000000002535   
0601VDA0N       20240101001965100000005000 0000000000002540   
0601VDA0N       20240101001970100000005000 0000000000002542   
0601VDA0N       20240101001975100000005000 0000000000002546   
0601VDA0N       20240101001980100000005000 0000000000002551   
0601VDA0N       20240101001985100000005000 0000000000002554   
0601VDA0N       20240101001990100000005000 0000000000002556   
0601VDA0N       20240101001995100000005000 0000000000002561   
0601VDA0N       20240101002000100000050000 0000000000002578   
0601VDA0N       20240101002050100000050000 0000000000002612   
0601VDA0N       20240101002100100000050000 0000000000002645   
0601VDA0N       20240101002150100000050000 0000000000002676   
0601VDA0N       20240101002200100000050000 0000000000002706   
0601VDA0N       20240101002250100000050000 0000000000002736   
0601VDA0N       20240101002300100000050000 0000000000002765   
0601VDA0N       20240101002350100000050000 0000000000002793   
0601VDA0N       20240101002400100000050000 0000000000002820   
0601VDA0N       20240101002450100000050000 0000000000002846   
0601VDA0N       20240101002500100000050000 0000000000002870   
0601VDA0N       20240101002550100000050000 0000000000002896   
0601VDA0N       20240101002600100000050000 0000000000002921   
0601VDA0N       20240101002650100000050000 0000000000002944   
0601VDA0N       20240101002700100000050000 0000000000002967   
0601VDA0N       20240101002750100000050000 0000000000002989   
0601VDA0N       20240101002800100000050000 0000000000003011   
0601VDA0N       20240101002850100000050000 0000000000003032   
0601VDA0N       20240101002900100000050000 0000000000003054   
0601VDA0N       20240101002950100000050000 0000000000003074   
0601VDA0N       20240101003000100000050000 0000000000003095   
0601VDA0N       20240101003050100000050000 0000000000003114   
0601VDA0N       20240101003100100000050000 0000000000003133   
0601VDA0N       20240101003150100000050000 0000000000003151   
0601VDA0N       20240101003200100000050000 0000000000003168   
0601VDA0N       20240101003250100000050000 0000000000003186   
0601VDA0N       20240101003300100000050000 0000000000003203   
0601VDA0N       20240101003350100000050000 0000000000003219   
0601VDA0N       20240101003400100000050000 0000000000003234   
0601VDA0N       20240101003450100000050000 0000000000003250   
0601VDA0N       20240101003500100000050000 0000000000003265   
0601VDA0N       20240101003550100000050000 0000000000003278   
0601VDA0N       20240101003600100000050000 0000000000003292   
0601VDA0N       20240101003650100000050000 0000000000003306   
0601VDA0N       20240101003700100000050000 0000000000003320   
0601VDA0N       20240101003750100000050000 0000000000003333   
0601VDA0N       20240101003800100000050000 0000000000003345   
0601VDA0N       20240101003850100000050000 0000000000003357   
0601VDA0N       20240101003900100000050000 0000000000003369   
0601VDA0N       20240101003950100000050000 0000000000003381   
0601VDA0N       20240101004000100000050000 0000000000003392   
0601VDA0N       20240101004050100000050000 0000000000003403   
0601VDA0N       20240101004100100000050000 0000000000003413   
0601VDA0N       20240101004150100000050000 0000000000003425   
0601VDA0N       20240101004200100000050000 0000000000003434   
0601VDA0N       20240101004250100000050000 0000000000003445   
0601VDA0N       20240101004300100000050000 0000000000003454   
0601VDA0N       20240101004350100000050000 0000000000003464   
0601VDA0N       20240101004400100000050000 0000000000003474   
0601VDA0N       20240101004450100000050000 0000000000003483   
0601VDA0N       20240101004500100000050000 0000000000003491   
0601VDA0N       20240101004550100000050000 0000000000003500   
0601VDA0N       20240101004600100000050000 0000000000003509   
0601VDA0N       20240101004650100000050000 0000000000003517   
